"","p.value","HR","Low 95%CI","High 95%CI"
"MAP3K7",0.00780475243739888,2.16534229436112,1.22557058092533,3.82573417208578
"MAPT",9.85436987814304e-06,1.19956224776822,1.10658399332451,1.30035279287541
"MFSD8",0.0319674593728874,0.726771168772194,0.542926405036931,0.97286911606845
"MTMR4",0.00456808750316757,0.576371828707576,0.393844408186093,0.843491688653726
"OPTN",0.0100807788200826,1.48787727217076,1.09930379201719,2.01380072835015
"RIPK2",0.0101858215328079,1.43598818065375,1.08962546857811,1.89245030924996
"RRAGB",0.0087002309186547,1.3678352068878,1.08245562534501,1.72845251980234
"RRAGC",0.0330540606547444,1.48652161197063,1.03240541076844,2.14038640228649
"RRAGD",0.000211581302091996,1.33602070963706,1.14618115722341,1.55730298420113
"SIRT2",9.58948906830078e-05,1.9060724137202,1.37841842780464,2.63571058907813
"SQSTM1",0.0091295034204645,1.50841710898798,1.10742956960314,2.05459763504695
"TAB2",0.0163054455751123,2.07162245595441,1.14343305425629,3.75327578999011
"TMEM150C",0.0456517854068618,1.14975316348733,1.00270122014228,1.31837112630774
"TMEM39A",0.0356350566326935,0.753146072648949,0.578131947452278,0.981141085951417
"TOMM7",0.00115852580723584,1.65447733651846,1.22109446995839,2.2416736169041
"TRIM65",0.0283699761304376,0.651569585587149,0.444247468219583,0.955645119517857
"TRIML2",0.00333099495137316,1.31323191723439,1.09477639465843,1.57527882118903
"UBA5",0.0472326627670399,0.592570518991733,0.353392109790184,0.99362665506768
"USP33",0.047312751665449,0.600553066806921,0.362851843591549,0.993970383287306
"UVRAG",0.0203191399145785,1.72361037133084,1.08824605832298,2.72992738125547
"WIPI2",0.0155529610871075,1.76481057914576,1.11386859078549,2.79616141978511
"ZMPSTE24",0.0241792275941223,0.6440567396163,0.439333281484874,0.944178602730011
"AKR1C1",0.0330427209001713,1.13982675041199,1.01059178963796,1.28558833969965
"CARS",0.00266960415604663,1.99437481717605,1.27104199675913,3.12934656882133
"CRYAB",0.0497932580866922,1.15395923550128,1.00012933968908,1.33144970790744
"FANCD2",0.0110101593863207,0.703031129579871,0.535802162357004,0.922453853086598
"IREB2",0.00943670988285971,0.630065147732935,0.444541048517144,0.893015598248889
"CISD2",0.0356018952730921,0.724110062517436,0.535855783363892,0.978500930506774
"DEPDC5",0.0493575516920163,0.742892027288245,0.552349913399047,0.99916475194543
"DRAM1",0.0461529898504138,0.781039117035795,0.612600164652857,0.99579160688887
"BIRC3",0.0299556552797454,0.82165437562862,0.68811282399414,0.981112238354981
"SHARPIN",0.000705485546229536,2.02026879353441,1.34493138599452,3.03471689383684
"GLB1",0.0348695032772267,0.678289725026614,0.47294261521581,0.972796564054057
"GNPTAB",0.0164111349480252,0.67567168881901,0.490533130019468,0.930685825549468
"HPS6",0.000883595536675299,0.523721120348936,0.357708523801462,0.766780195743336
"IDS",0.00426105958626884,1.53052158678081,1.14310737882771,2.04923559325139
"IL13",0.0099319422910935,0.86253916599512,0.77082765425861,0.965162327486966
"IL13RA2",0.00665973357067402,0.873968349134241,0.792932794392752,0.963285515102682
"KXD1",0.0162512822976034,1.81268515097163,1.11595294650754,2.94441397985127
"NAGA",0.0181577718674598,0.636668888439829,0.437753510268255,0.925971497655862
"NAGLU",0.0110937083564912,0.68073460048647,0.505921805767179,0.915951024480502
"NPC2",0.0314439258793583,1.36263543799285,1.02791664249655,1.80634816103797
"RAB3A",0.0183344837609458,1.19336790277519,1.03034138726056,1.38218940729974
"SGSH",0.0234557894371379,0.663783552389439,0.465676591019868,0.946168677832346
"SNX16",0.00529133063977266,1.53189251012242,1.13513475183061,2.06732694843911
"STXBP1",0.00516442946593701,1.23209113408142,1.064429135675,1.42616216693409
"ADRA1A",0.00304448551622869,1.25306885543002,1.07937191819709,1.45471781318104
"ATP6V1D",0.0190816034751487,1.56914359863131,1.07659480387036,2.28703651947229
"ATP6V1H",0.00208177488527992,1.77943002282169,1.23289697012425,2.56823666765934
"GAB2",0.0438275194271921,1.23465138981519,1.00584927481708,1.51549948142063
"IRF9",0.0200112606855938,0.847893518398386,0.737841200494451,0.974360632152584
"IFNGR2",0.0303012208212302,1.47318886129572,1.03756277807737,2.09171480213215
"CD84",0.023308028134543,0.849689715575852,0.738138456571829,0.978099171405408
"CLNK",0.0124947789012015,0.85380153883847,0.754215605436105,0.966536707101716
"CTSE",0.0277857295441179,0.944885144083768,0.898353666580518,0.993826784175741
"CTSO",0.00835126716248082,0.727180495290185,0.573888705698574,0.921418155610504
"GLS",0.00127385273240487,1.70588033231406,1.23266261437817,2.36076577177926
"CDKN2A",0.000604408753469715,1.19460844181132,1.07917705844152,1.32238664460473
"SLC31A1",0.04729988341887,0.721705876216006,0.522887885250937,0.996120557497234
"AP3M1",0.0194298150140917,0.568030855528607,0.353498631592532,0.912758986870651
"AP3M2",0.0103147158241734,1.48106036914107,1.09708392680107,1.99942754009378
"AP4E1",0.0376848675177822,0.73884747380009,0.555382122416133,0.982918908455159
"RNF146",9.54264072907577e-05,2.44633531268783,1.56085392006762,3.83415538453731
